risk_score,address,borough,bldgclass,garage_type,yearbuilt,numfloors,has_chargers,total_ev_ports,sprinkler_permits_count,sprinkler_last_date,fire_violations_count,bldgarea_sqft,garagearea_sqft,small_garage,lat,lon,reasons
25,24-49 47 STREET,QN,F5,other,2018,2.0,False,0,0,none,0,4400.0,1919.0,True,40.766435,-73.9048968,"built 2018, modern code (+5); No DOB sprinkler permit on record and no FDNY violation confirming a system; sprinkler status unknown (+15); 2 floors (+5)"
25,22-51 45TH STREET,QN,RM,under_residential,2022,8.0,False,0,0,none,0,73706.0,12484.0,False,40.7693579,-73.904575,"built 2022, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 8 floors, multi-story (+10)"
25,25-13 27 STREET,QN,RM,under_residential,2008,8.0,False,0,0,none,0,21230.0,1989.0,True,40.7715189,-73.920219,"built 2008, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 8 floors, multi-story (+10)"
25,23-18 31 STREET,QN,O7,under_commercial,1999,3.0,False,0,1,2001-05-15,0,37589.0,5000.0,False,40.7740889,-73.9138182,"built 1999, pre-IBC 2003 (+15); DOB sprinkler permit on record (+0); 3 floors, multi-story (+10)"
25,40-06 68TH STREET,QN,RM,under_residential,2021,7.0,False,0,0,none,0,19563.0,1764.0,True,40.7458595,-73.8974232,"built 2021, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 7 floors, multi-story (+10)"
25,40-07 73 STREET,QN,RM,under_residential,2010,6.0,True,4,2,2015-06-10,0,56799.0,13681.0,False,40.746538,-73.8920051,"built 2010, modern code (+5); DOB sprinkler permit on record (+0); 6 floors, multi-story (+10); EV chargers: 4 L2 + 0 DC fast (+10)"
25,69-14 41 AVENUE,QN,RM,under_residential,2010,6.0,False,0,0,none,0,25101.0,2240.0,True,40.7444001,-73.8953143,"built 2010, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 6 floors, multi-story (+10)"
25,40-22 61ST STREET,QN,R4,under_residential,2022,7.0,False,0,0,none,0,61523.0,10908.0,False,40.7443306,-73.9037303,"built 2022, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 7 floors, multi-story (+10)"
25,69-12 WOODSIDE AVENUE,QN,D6,under_residential,2017,4.0,False,0,0,none,0,16174.0,6353.0,False,40.7423495,-73.8950541,"built 2017, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 4 floors, multi-story (+10)"
25,73-02 WOODSIDE AVE,QN,RM,under_residential,2018,5.0,False,0,0,none,0,31792.0,2142.0,True,40.7427524,-73.8914555,"built 2018, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 5 floors, multi-story (+10)"
25,40-40 75 STREET,QN,RM,under_residential,2008,8.0,False,0,0,none,0,58592.0,4860.0,False,40.7457736,-73.8905844,"built 2008, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 8 floors, multi-story (+10)"
25,81-06 BAXTER AVENUE,QN,RM,under_residential,2009,6.0,False,0,0,none,0,22526.0,1683.0,True,40.7452538,-73.8839088,"built 2009, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 6 floors, multi-story (+10)"
25,78-36 46 AVENUE,QN,R4,under_residential,2005,5.0,False,0,0,none,0,22012.0,2015.0,True,40.7402715,-73.8860682,"built 2005, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 5 floors, multi-story (+10)"
25,81-05 QUEENS BOULEVARD,QN,RM,under_residential,2010,7.0,False,0,0,none,0,54417.0,8872.0,False,40.7380854,-73.882081,"built 2010, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 7 floors, multi-story (+10)"
25,85-08 ELMHURST AVENUE,QN,R4,under_residential,2009,6.0,False,0,0,none,0,22133.0,3102.0,False,40.7432646,-73.8793435,"built 2009, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 6 floors, multi-story (+10)"
25,91-23 CORONA AVE,QN,RM,under_residential,2022,7.0,False,0,0,none,0,31068.0,1989.0,True,40.7427085,-73.8726503,"built 2022, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 7 floors, multi-story (+10)"
25,40-49 97 STREET,QN,D3,under_residential,2018,5.0,False,0,0,none,0,21929.0,2950.0,False,40.7481234,-73.8673996,"built 2018, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 5 floors, multi-story (+10)"
25,32-58 105 STREET,QN,RM,under_residential,2018,7.0,False,0,0,none,0,35523.0,3366.0,False,40.7580226,-73.8640338,"built 2018, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 7 floors, multi-story (+10)"
25,3265 107TH STREET,QN,RM,under_residential,2017,6.0,False,0,0,none,0,22586.0,1530.0,True,40.7580829,-73.8617127,"built 2017, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 6 floors, multi-story (+10)"
25,112-15 NORTHERN BOULEVARD,QN,RM,under_residential,2009,7.0,False,0,0,none,0,128389.0,33371.0,False,40.7583495,-73.8574528,"built 2009, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 7 floors, multi-story (+10)"
25,33-43 JUNCTION BLVD,QN,R4,under_residential,2015,7.0,False,0,0,none,0,16234.0,1224.0,True,40.75565,-73.872658,"built 2015, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 7 floors, multi-story (+10)"
25,112-02 NORTHERN BOULEVARD,QN,RM,under_residential,2009,6.0,False,0,0,none,0,44694.0,6480.0,False,40.7577975,-73.8572049,"built 2009, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 6 floors, multi-story (+10)"
25,34-17 103 STREET,QN,R3,under_residential,2019,4.0,False,0,0,none,0,19066.0,2079.0,True,40.7552785,-73.8646385,"built 2019, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 4 floors, multi-story (+10)"
